BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vision-meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2022 21:48:31:766 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,,survival-rate,survival-rate-average,vision/metabolism,mean-vision/metabolism,,,,,,,,,,,,,,,
855,no-visualization,550,9,6,800,149,3.590604027,1.979865772,,0.270909091,,1.813559322,,,,,,,,,,,,,,,,
856,no-visualization,550,9,6,800,145,3.75862069,2.15862069,,0.263636364,,1.741214058,,,,,,,,,,,,,,,,
857,no-visualization,550,9,6,800,177,3.683615819,2.079096045,,0.321818182,,1.77173913,,,,,,,,,,,,,,,,
858,no-visualization,550,9,6,800,173,3.98265896,2.046242775,,0.314545455,,1.946327684,,,,,,,,,,,,,,,,
859,no-visualization,550,9,6,800,157,3.917197452,2.082802548,,0.285454545,,1.880733945,,,,,,,,,,,,,,,,
860,no-visualization,550,9,6,800,177,3.610169492,1.943502825,,0.321818182,,1.85755814,,,,,,,,,,,,,,,,
861,no-visualization,550,9,7,800,153,4.104575163,2.08496732,,0.278181818,29.5%,1.968652038,2.1,,,,,,,,,,,,,,,
862,no-visualization,550,9,7,800,166,4.512048193,2.168674699,,0.301818182,,2.080555556,,,,,,,,,,,,,,,,
863,no-visualization,550,9,7,800,163,4.570552147,2.098159509,,0.296363636,,2.178362573,,,,,,,,,,,,,,,,
864,no-visualization,550,9,7,800,168,4.327380952,1.994047619,,0.305454545,,2.170149254,,,,,,,,,,,,,,,,
865,no-visualization,550,9,7,800,158,4.335443038,2.094936709,,0.287272727,,2.069486405,,,,,,,,,,,,,,,,
866,no-visualization,550,9,7,800,168,4.345238095,2.19047619,,0.305454545,,1.983695652,,,,,,,,,,,,,,,,
867,no-visualization,550,9,7,800,166,4.451807229,2,,0.301818182,,2.225903614,,,,,,,,,,,,,,,,
868,no-visualization,550,9,7,800,158,4.227848101,2.050632911,,0.287272727,,2.061728395,,,,,,,,,,,,,,,,
869,no-visualization,550,9,7,800,154,4.415584416,2.181818182,,0.28,,2.023809524,,,,,,,,,,,,,,,,
870,no-visualization,550,9,7,800,170,4.688235294,2.047058824,,0.309090909,,2.290229885,,,,,,,,,,,,,,,,
871,no-visualization,550,9,8,800,178,5.213483146,2.196629213,,0.323636364,31.3%,2.373401535,2.3,,,,,,,,,,,,,,,
872,no-visualization,550,9,8,800,173,4.965317919,2.104046243,,0.314545455,,2.35989011,,,,,,,,,,,,,,,,
873,no-visualization,550,9,8,800,177,5.011299435,2.18079096,,0.321818182,,2.297927461,,,,,,,,,,,,,,,,
874,no-visualization,550,9,8,800,159,4.943396226,2.100628931,,0.289090909,,2.353293413,,,,,,,,,,,,,,,,
875,no-visualization,550,9,8,800,185,4.497297297,2.113513514,,0.336363636,,2.127877238,,,,,,,,,,,,,,,,
876,no-visualization,550,9,8,800,172,5.011627907,2.162790698,,0.312727273,,2.317204301,,,,,,,,,,,,,,,,
877,no-visualization,550,9,8,800,171,4.725146199,2.169590643,,0.310909091,,2.177897574,,,,,,,,,,,,,,,,
878,no-visualization,550,9,8,800,170,4.929411765,2.088235294,,0.309090909,,2.36056338,,,,,,,,,,,,,,,,
879,no-visualization,550,9,8,800,175,4.714285714,2.36,,0.318181818,,1.997578692,,,,,,,,,,,,,,,,
880,no-visualization,550,9,8,800,163,4.779141104,2.159509202,,0.296363636,,2.213068182,,,,,,,,,,,,,,,,
881,no-visualization,550,9,9,800,181,5.430939227,2.232044199,,0.329090909,32.6%,2.433168317,2.5,,,,,,,,,,,,,,,
882,no-visualization,550,9,9,800,168,5.869047619,2.196428571,,0.305454545,,2.672086721,,,,,,,,,,,,,,,,
883,no-visualization,550,9,9,800,190,5.657894737,2.231578947,,0.345454545,,2.535377358,,,,,,,,,,,,,,,,
884,no-visualization,550,9,9,800,185,5.335135135,2.297297297,,0.336363636,,2.322352941,,,,,,,,,,,,,,,,
885,no-visualization,550,9,9,800,193,5.471502591,2.367875648,,0.350909091,,2.310722101,,,,,,,,,,,,,,,,
886,no-visualization,550,9,9,800,176,5.653409091,2.210227273,,0.32,,2.557840617,,,,,,,,,,,,,,,,
887,no-visualization,550,9,9,800,185,5.621621622,2.167567568,,0.336363636,,2.593516209,,,,,,,,,,,,,,,,
888,no-visualization,550,9,9,800,172,5.639534884,2.238372093,,0.312727273,,2.519480519,,,,,,,,,,,,,,,,
889,no-visualization,550,9,9,800,172,5.662790698,2.122093023,,0.312727273,,2.668493151,,,,,,,,,,,,,,,,
890,no-visualization,550,9,9,800,171,5.514619883,2.292397661,,0.310909091,,2.405612245,,,,,,,,,,,,,,,,
891,no-visualization,550,9,10,800,206,6.286407767,2.160194175,,0.374545455,34.1%,2.91011236,2.8,,,,,,,,,,,,,,,
892,no-visualization,550,9,10,800,182,6.016483516,2.263736264,,0.330909091,,2.65776699,,,,,,,,,,,,,,,,
893,no-visualization,550,9,10,800,172,6.069767442,2.302325581,,0.312727273,,2.636363636,,,,,,,,,,,,,,,,
894,no-visualization,550,9,10,800,191,5.947643979,2.157068063,,0.347272727,,2.757281553,,,,,,,,,,,,,,,,
895,no-visualization,550,9,10,800,197,6.436548223,2.137055838,,0.358181818,,3.011876485,,,,,,,,,,,,,,,,
896,no-visualization,550,9,10,800,185,5.724324324,2.118918919,,0.336363636,,2.701530612,,,,,,,,,,,,,,,,
897,no-visualization,550,9,10,800,187,6.267379679,2.272727273,,0.34,,2.757647059,,,,,,,,,,,,,,,,
898,no-visualization,550,9,10,800,177,5.983050847,2.225988701,,0.321818182,,2.687817259,,,,,,,,,,,,,,,,
899,no-visualization,550,9,10,800,192,6.171875,2.255208333,,0.349090909,,2.736720554,,,,,,,,,,,,,,,,
900,no-visualization,550,9,10,800,186,6.424731183,2.252688172,,0.338181818,,2.85202864,,,,,,,,,,,,,,,,
901,no-visualization,550,10,1,800,103,1,1.844660194,,0.187272727,19.8%,0.542105263,0.6,,,,,,,,,,,,,,,
902,no-visualization,550,10,1,800,107,1,1.794392523,,0.194545455,,0.557291667,,,,,,,,,,,,,,,,
903,no-visualization,550,10,1,800,120,1,1.925,,0.218181818,,0.519480519,,,,,,,,,,,,,,,,
904,no-visualization,550,10,1,800,102,1,1.745098039,,0.185454545,,0.573033708,,,,,,,,,,,,,,,,
905,no-visualization,550,10,1,800,104,1,1.826923077,,0.189090909,,0.547368421,,,,,,,,,,,,,,,,
