BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 22:29:17:435 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-vision,max-metabolism,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
67,10,no-visualization,100,6,7,800,2,,,,,,,,,,,,,,,
68,10,no-visualization,100,6,7,800,2.028571429,,,,,,,,,,,,,,,
69,10,no-visualization,100,6,7,800,2.027777778,,,,,,,,,,,,,,,
70,10,no-visualization,100,6,7,800,2.1875,,,,,,,,,,,,,,,
71,10,no-visualization,100,6,8,800,2.179487179,,2.106283887,,,,,,,,,,,,,
72,10,no-visualization,100,6,8,800,2.2,,,,,,,,,,,,,,,
73,10,no-visualization,100,6,8,800,2.073170732,,,,,,,,,,,,,,,
74,10,no-visualization,100,6,8,800,2.171428571,,,,,,,,,,,,,,,
75,10,no-visualization,100,6,8,800,2.064516129,,,,,,,,,,,,,,,
76,10,no-visualization,100,6,8,800,1.825,,,,,,,,,,,,,,,
77,10,no-visualization,100,6,8,800,2.068965517,,,,,,,,,,,,,,,
78,10,no-visualization,100,6,8,800,2.225806452,,,,,,,,,,,,,,,
79,10,no-visualization,100,6,8,800,2.21875,,,,,,,,,,,,,,,
80,10,no-visualization,100,6,8,800,2.035714286,,,,,,,,,,,,,,,
81,10,no-visualization,100,6,9,800,2.259259259,,2.095365923,,,,,,,,,,,,,
82,10,no-visualization,100,6,9,800,2.029411765,,,,,,,,,,,,,,,
83,10,no-visualization,100,6,9,800,2.178571429,,,,,,,,,,,,,,,
84,10,no-visualization,100,6,9,800,2.5,,,,,,,,,,,,,,,
85,10,no-visualization,100,6,9,800,1.967741935,,,,,,,,,,,,,,,
86,10,no-visualization,100,6,9,800,1.925925926,,,,,,,,,,,,,,,
87,10,no-visualization,100,6,9,800,1.942857143,,,,,,,,,,,,,,,
88,10,no-visualization,100,6,9,800,2.227272727,,,,,,,,,,,,,,,
89,10,no-visualization,100,6,9,800,1.958333333,,,,,,,,,,,,,,,
90,10,no-visualization,100,6,9,800,1.964285714,,,,,,,,,,,,,,,
91,10,no-visualization,100,6,10,800,1.791666667,,2.044324333,,,,,,,,,,,,,
92,10,no-visualization,100,6,10,800,2.24,,,,,,,,,,,,,,,
93,10,no-visualization,100,6,10,800,1.935483871,,,,,,,,,,,,,,,
94,10,no-visualization,100,6,10,800,2.111111111,,,,,,,,,,,,,,,
95,10,no-visualization,100,6,10,800,2.12,,,,,,,,,,,,,,,
96,10,no-visualization,100,6,10,800,1.928571429,,,,,,,,,,,,,,,
97,10,no-visualization,100,6,10,800,1.96,,,,,,,,,,,,,,,
98,10,no-visualization,100,6,10,800,1.933333333,,,,,,,,,,,,,,,
99,10,no-visualization,100,6,10,800,2.307692308,,,,,,,,,,,,,,,
100,10,no-visualization,100,6,10,800,2.115384615,,,,,,,,,,,,,,,
101,10,no-visualization,200,6,1,800,1,,1,,,,,,,,,,,,,
102,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
103,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
104,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
105,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
106,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
107,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
108,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
109,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
110,10,no-visualization,200,6,1,800,1,,,,,,,,,,,,,,,
111,10,no-visualization,200,6,2,800,1.445714286,,1.480900316,,,,,,,,,,,,,
112,10,no-visualization,200,6,2,800,1.491803279,,,,,,,,,,,,,,,
113,10,no-visualization,200,6,2,800,1.49132948,,,,,,,,,,,,,,,
114,10,no-visualization,200,6,2,800,1.541436464,,,,,,,,,,,,,,,
115,10,no-visualization,200,6,2,800,1.505617978,,,,,,,,,,,,,,,
116,10,no-visualization,200,6,2,800,1.438596491,,,,,,,,,,,,,,,
117,10,no-visualization,200,6,2,800,1.471910112,,,,,,,,,,,,,,,
118,10,no-visualization,200,6,2,800,1.430939227,,,,,,,,,,,,,,,
119,10,no-visualization,200,6,2,800,1.460227273,,,,,,,,,,,,,,,
120,10,no-visualization,200,6,2,800,1.531428571,,,,,,,,,,,,,,,
121,10,no-visualization,200,6,3,800,1.810126582,,1.812439841,,,,,,,,,,,,,
122,10,no-visualization,200,6,3,800,1.912408759,,,,,,,,,,,,,,,
123,10,no-visualization,200,6,3,800,1.888888889,,,,,,,,,,,,,,,
124,10,no-visualization,200,6,3,800,1.776397516,,,,,,,,,,,,,,,
125,10,no-visualization,200,6,3,800,1.945121951,,,,,,,,,,,,,,,
126,10,no-visualization,200,6,3,800,1.768707483,,,,,,,,,,,,,,,
127,10,no-visualization,200,6,3,800,1.730263158,,,,,,,,,,,,,,,
128,10,no-visualization,200,6,3,800,1.8,,,,,,,,,,,,,,,
129,10,no-visualization,200,6,3,800,1.76,,,,,,,,,,,,,,,
130,10,no-visualization,200,6,3,800,1.732484076,,,,,,,,,,,,,,,
131,10,no-visualization,200,6,4,800,2.017857143,,2.028684681,,,,,,,,,,,,,
132,10,no-visualization,200,6,4,800,1.991071429,,,,,,,,,,,,,,,
133,10,no-visualization,200,6,4,800,1.943089431,,,,,,,,,,,,,,,
134,10,no-visualization,200,6,4,800,2.073529412,,,,,,,,,,,,,,,
135,10,no-visualization,200,6,4,800,1.873015873,,,,,,,,,,,,,,,
136,10,no-visualization,200,6,4,800,2.124031008,,,,,,,,,,,,,,,
137,10,no-visualization,200,6,4,800,2.058823529,,,,,,,,,,,,,,,
138,10,no-visualization,200,6,4,800,2.104,,,,,,,,,,,,,,,
139,10,no-visualization,200,6,4,800,2.086614173,,,,,,,,,,,,,,,
140,10,no-visualization,200,6,4,800,2.014814815,,,,,,,,,,,,,,,
141,10,no-visualization,200,6,5,800,1.914285714,,2.058636684,,,,,,,,,,,,,
142,10,no-visualization,200,6,5,800,2.095238095,,,,,,,,,,,,,,,
143,10,no-visualization,200,6,5,800,2.144444444,,,,,,,,,,,,,,,
144,10,no-visualization,200,6,5,800,2.162162162,,,,,,,,,,,,,,,
145,10,no-visualization,200,6,5,800,1.953703704,,,,,,,,,,,,,,,
146,10,no-visualization,200,6,5,800,2.071428571,,,,,,,,,,,,,,,
147,10,no-visualization,200,6,5,800,2.142857143,,,,,,,,,,,,,,,
148,10,no-visualization,200,6,5,800,2.280898876,,,,,,,,,,,,,,,
149,10,no-visualization,200,6,5,800,1.990990991,,,,,,,,,,,,,,,
150,10,no-visualization,200,6,5,800,1.830357143,,,,,,,,,,,,,,,
151,10,no-visualization,200,6,6,800,2.108433735,,2.025923252,,,,,,,,,,,,,
152,10,no-visualization,200,6,6,800,2.02173913,,,,,,,,,,,,,,,
153,10,no-visualization,200,6,6,800,1.886363636,,,,,,,,,,,,,,,
154,10,no-visualization,200,6,6,800,1.935064935,,,,,,,,,,,,,,,
155,10,no-visualization,200,6,6,800,2.156626506,,,,,,,,,,,,,,,
156,10,no-visualization,200,6,6,800,2.095238095,,,,,,,,,,,,,,,
157,10,no-visualization,200,6,6,800,2.065934066,,,,,,,,,,,,,,,
158,10,no-visualization,200,6,6,800,2.026666667,,,,,,,,,,,,,,,
159,10,no-visualization,200,6,6,800,2.024390244,,,,,,,,,,,,,,,
160,10,no-visualization,200,6,6,800,1.93877551,,,,,,,,,,,,,,,
161,10,no-visualization,200,6,7,800,2.028571429,,2.004152448,,,,,,,,,,,,,
162,10,no-visualization,200,6,7,800,2.222222222,,,,,,,,,,,,,,,
163,10,no-visualization,200,6,7,800,1.928571429,,,,,,,,,,,,,,,
