BehaviorSpace results (NetLogo 6.2.2),,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,
experiment,,,,,,,
02/17/2022 16:49:59:663 +0800,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
0,49,0,49,,,,
[run number],visualization,initial-population,[step],count turtles,,rate-of-survival,mean-rate-of-survival
135,no-visualization,700,1000,303,,43.3%,
136,no-visualization,700,1000,311,,44.4%,
137,no-visualization,700,1000,322,,46.0%,
138,no-visualization,700,1000,297,,42.4%,
139,no-visualization,700,1000,314,,44.9%,
140,no-visualization,700,1000,311,,44.4%,
141,no-visualization,750,1000,333,,44.4%,44.7%
142,no-visualization,750,1000,363,,48.4%,
143,no-visualization,750,1000,331,,44.1%,
144,no-visualization,750,1000,340,,45.3%,
145,no-visualization,750,1000,345,,46.0%,
146,no-visualization,750,1000,331,,44.1%,
147,no-visualization,750,1000,328,,43.7%,
148,no-visualization,750,1000,350,,46.7%,
149,no-visualization,750,1000,324,,43.2%,
150,no-visualization,750,1000,311,,41.5%,
151,no-visualization,800,1000,357,,44.6%,44.8%
152,no-visualization,800,1000,376,,47.0%,
153,no-visualization,800,1000,363,,45.4%,
154,no-visualization,800,1000,334,,41.8%,
155,no-visualization,800,1000,360,,45.0%,
156,no-visualization,800,1000,384,,48.0%,
157,no-visualization,800,1000,358,,44.8%,
158,no-visualization,800,1000,343,,42.9%,
159,no-visualization,800,1000,342,,42.8%,
160,no-visualization,800,1000,364,,45.5%,
161,no-visualization,850,1000,389,,45.8%,44.2%
162,no-visualization,850,1000,346,,40.7%,
163,no-visualization,850,1000,385,,45.3%,
164,no-visualization,850,1000,362,,42.6%,
165,no-visualization,850,1000,390,,45.9%,
166,no-visualization,850,1000,377,,44.4%,
167,no-visualization,850,1000,375,,44.1%,
168,no-visualization,850,1000,358,,42.1%,
169,no-visualization,850,1000,389,,45.8%,
170,no-visualization,850,1000,390,,45.9%,
171,no-visualization,900,1000,392,,43.6%,44.2%
172,no-visualization,900,1000,378,,42.0%,
173,no-visualization,900,1000,412,,45.8%,
